Am	I	not	more	to	you	than	ten	sons	?																															
O	O	O	O	O	O	O	O	O	O																															
La	settima	volta	riferì	:	Ecco	,	una	nuvoletta	,	come	una	mano	d’	uomo	,	sale	dal	mare	.																					
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O																					
So	he	might	say	,	never	having	heard	them	,	that	such	things	do	not	exist	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
Dunque	potrebbe	dire	,	non	avendole	mai	sentite	,	che	tali	cose	non	esistono	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
You	must	remember	the	circumstances	of	that	night	,	June	5	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Dovete	ricordare	le	circostanze	di	quella	notte	,	5	giugno	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Falling	into	them	,	one	is	burned	,	O	Nanak	!																														
O	O	O	O	O	O	O	O	O	O	O																														
Cadendo	in	loro	,	uno	è	bruciato	,	o	Nanak	!																														
O	O	O	O	O	O	O	O	O	O	O																														
In	other	words	,	my	suzerain	is	the	Lord	my	Lord	,	not	my	direct	Lord	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																								
In	altri	termini	,	il	mio	suzerain	è	il	signore	mio	signore	,	non	il	mio	signore	diretto	 .																						
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																						
The	bones	(	especially	those	of	the	nose	)	may	become	misshapen	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Le	ossa	(	specialmente	quelle	del	naso	)	possono	essere	danneggiate	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
I	love	Aerosmith	and	No	Doubt	.																																		
O	O	O	O	B	I	O																																		
Amo	gli	Aerosmith	e	i	No	Doubt	.																																	
O	O	O	O	O	B	I	O																																	
The	Greek	,	who	needs	Frank	's	system	,	the	objects	.																													
O	O	O	O	O	B	I	I	O	O	O	O																													
Il	greco	,	che	ha	bisogno	del	sistema	di	Frank	,	gli	oggetti	.																											
O	O	O	O	O	O	O	B	I	I	O	O	O	O																											
The	Children	-	404	Project	has	attracted	attention	outside	Russia	.																														
O	B	I	I	I	O	O	O	O	O	O																														
Il	progetto	Children	-	404	ha	attirato	l'	attenzione	fuori	dalla	Russia	.																												
O	B	I	I	I	O	O	O	O	O	O	O	O																												
There	are	more	than	20	menhuan	(	denominations	)	.																															
O	O	O	O	O	O	O	O	O	O																															
Esistono	più	di	20	menhuan	(	denominazioni	)	.																																
O	O	O	O	O	O	O	O	O																																
Berial	:	demon	of	one	of	the	most	awful	hellish	circles	:	the	Hell	of	fire	.																								
O	O	O	O	O	O	O	O	O	B	I	O	O	B	I	I	O																								
Berial	:	demone	di	uno	dei	più	tremendi	gironi	infernali	:	l'	Inferno	di	fuoco	.																									
O	O	O	O	O	O	O	O	B	I	O	O	B	I	I	O																									
On	the	other	hand	,	if	they	are	in	agreement	,	they	are	not	needed	,	as	for	us	Qur'an	is	sufficient	.																		
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																		
D'	altro	canto	,	se	concordano	,	non	sono	necessari	,	in	quanto	per	noi	il	Corano	è	sufficiente	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
So	that	the 	beloved	son	will	reign	.																																	
O	O	O	O	O	O	O	O																																	
Affichè	regni	il	figlio	amato	.																																			
O	O	O	O	O	O																																			
The	real	genovese	cuisine	easy	and	economic	.																																	
O	O	B	I	O	O	O	O																																	
La	vera	cucina	genovese	facile	ed	economica	.																																	
O	O	B	I	O	O	O	O																																	
We	can	talk	about	the	NC	union	of	all	of	these	classes	.																												
O	O	O	O	O	B	I	O	O	O	O	O	O																												
Possiamo	parlare	dell'	unione	NC	di	tutte	queste	classi	.																															
O	O	O	B	I	O	O	O	O	O																															
The	Egyptian	fleet	arrived	eight	hours	too	late	.																																
O	B	I	O	O	O	O	O	O																																
La	flotta	egiziana	arrivò	otto	ore	troppo	tardi	.																																
O	B	I	O	O	O	O	O	O																																
2030	is	a	dream	and	a	goal	.																																	
O	O	O	O	O	O	O	O																																	
2030	è	un	sogno	ed	un	obiettivo	.																																	
O	O	O	O	O	O	O	O																																	
After	having	passed	the	mountains	,	they	came	to	Eriador	,	where	they	mingled	with	other	races	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																							
Dopo	aver	valicato	le	montagne	,	giunsero	ad	Eriador	,	dove	si	mescolarono	ad	altre	razze	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																								
You	created	it	,	You	formed	it	,	and	You	breathed	it	into	me	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Tu	l'	hai	creata	,	Tu	l'	hai	formata	e	Tu	l'	hai	respirata	in	me	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
Gu	finally	finds	peace	.																																				
O	O	O	O	O																																				
Gu	finalmente	trova	la	pace	.																																			
O	O	O	O	O	O																																			
When	had	we	left	our	houses	?																																		
O	O	O	O	O	O	O																																		
Quando	abbiamo	lasciato	le	nostre	case	?																																		
O	O	O	O	O	O	O																																		
He	can	pilot	.																																					
O	O	O	O																																					
Lui	può	pilotare	.																																					
O	O	O	O																																					
At	that	time	,	the	Sahara	was	not	yet	safe	in	the	geography	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
A	quel	tempo	,	il	Sahara	non	era	ancora	sicuro	nella	geografia	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Will	the	Robinsons	lose	their	mountain	home	?																																	
O	O	O	O	O	B	I	O																																	
I	Robinson	perderanno	la	loro	casa	di	montagna	?																																
O	O	O	O	O	B	I	I	O																																
The	two	presumably	end	up	with	Ben	.																																	
O	O	O	B	I	O	O	O																																	
I	due	presumibilmente	finiranno	con	Ben	.																																		
O	O	O	O	O	O	O																																		
In	1994	(	full	Tangentopoli	)	he	closed	his	career	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Nel	1994	(	piena	Tangentopoli	)	chiuse	la	sua	carriera	.																														
O	O	O	O	O	O	O	O	O	O	O																														
For	a	long	time	it	is	also	a	solid	point	of	reference	for	knowledge	and	socialization	among	LGBTQ	people	,	as	it	offers	a	 welcome 	service	that	takes	place	once	a	week	at	the	club	headquarters	.				
O	O	O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	B	I	O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	B	I	O				
Da	molto	tempo	rappresenta	anche	un	solido	punto	di	riferimento	per	quanto	riguarda	la	conoscenza	e	la	socializzazione	tra	persone	LGBTQ	,	poiché	offre	un	servizio	di	 welcome 	che	si	svolge	una	volta	a	settimana	presso	la	sede	del	Circolo	.
O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	O	B	I	I	O
How	to	face	them	,	in	"	Economia	Politica	"	.																														
O	O	O	O	O	O	O	B	I	O	O																														
Come	affrontarli	,	in	"	Economia	Politica	"	.																																
O	O	O	O	O	B	I	O	O																																
Who	are	the	two	sisters	?																																			
O	O	O	O	O	O																																			
Chi	sono	le	due	sorelle	?																																			
O	O	O	O	O	O																																			
This	explosion	destroyed	Fatality	's	remaining	arm	.																																	
O	O	O	B	I	I	I	O																																	
Quest'	esplosione	distrusse	il	braccio	rimanente	di	Fatality	.																																
O	O	O	O	B	I	I	I	O																																
A	small	amount	of	evidence	has	been	found	for	the	worship	of	Dushara	.																											
O	B	I	O	O	O	O	O	O	O	B	I	I	O																											
Una	piccola	quantità	di	prove	è	stata	trovata	per	il	culto	di	Dushara	.																											
O	B	I	O	O	O	O	O	O	O	B	I	I	O																											
Every	evening	and	morning	they	were	dressed	.																																	
O	O	O	O	O	O	O	O																																	
Ogni	sera	e	mattina	venivano	vestiti	 .																																		
O	O	O	O	O	O	O																																		
Gray	ordered	several	other	attacks	during	the	1792	voyage	.																															
O	O	O	O	O	O	O	B	I	O																															
Gray	ordinò	molti	altri	attacchi	durante	il	viaggio	del	1792	.																														
O	O	O	O	O	O	O	B	I	I	O																														
No	man	could	do	everything	for	the	country	-	not	even	Washington	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Nessun	uomo	potrebbe	fare	di	tutto	per	il	paese	-	nemmeno	Washington	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
432	!	Is	the	first	.																																			
O	O	O	O	O	O																																			
432	!	È	il	primo	.																																			
O	O	O	O	O	O																																			
Once	he	breaks	eye	contact	with	them	,	their	hearts	will	break	.																												
O	O	O	B	I	O	O	O	O	O	O	O	O																												
Quando	egli	distoglierà	lo	sguardo	da	loro	,	il	loro	cuore	si	spezzerà	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Now	the	care	of	the	763.680	children	of	London	is	placed	partly	in	my	hands	.																									
O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O																									
Ora	la	cura	dei	763680	bambini	di	Londra	viene	posta	in	parte	anche	nelle	mie	mani	.																								
O	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	O																								
And	of	course	the	virus	loves	the	cell	so	much	that	it	destroys	it	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
E	certamente	il	virus	ama	la	cellula	così	tanto	che	la	distrugge	 .																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
The	council	can	only	publish	public	statements	,	as	sanctions	.																														
O	O	O	O	O	B	I	O	O	O	O																														
Il	consiglio	può	pubblicare	solo	dichiarazioni	pubbliche	,	come	sanzioni	.																														
O	O	O	O	O	B	I	O	O	O	O																														
Putin	also	said	:	What	are	the	so	called	European	values	?																													
O	O	O	O	O	O	O	O	O	B	I	O																													
Putin	ha	anche	detto	:	Cosa	sono	i	cosiddetti	valori	europei	?																													
O	O	O	O	O	O	O	O	O	B	I	O																													
They	said	:	Yes	.																																				
O	O	O	O	O																																				
Essi	dissero	:	Sì	.																																				
O	O	O	O	O																																				
They	found	the	land	and	returned	to	Hiva	.																																
O	O	O	O	O	O	O	O	O																																
Trovarono	la	terra	e	ritornarono	a	Hiva	.																																	
O	O	O	O	O	O	O	O																																	
The	nearest	to	this	in	western	cooking	is	sauté	.																															
O	O	O	O	O	B	I	O	O	O																															
La	cosa	più	vicina	a	questa	cucina	occidentale	è	il	sauté	.																													
O	O	O	O	O	O	B	I	O	O	O	O																													
(	Usually	no	more	than	5	colors	)	Finally	,	when	the	preparation	is	complete	.																									
